drugname,pt,a,b,c,d,PRR,ROR,ROR_CI_Lower,ROR_CI_Upper,Chi_Square,Chi2p_value,Fisherp_value,signal_status
ENTRESTO,CARDIAC DISORDER,7,745.00,576.00,389053.00,6.30,6.35,3.00,13.42,30.86,0.00,0.00,signal detected
DUPIXENT,RESPIRATORY TRACT CONGESTION,19,23375.00,47.00,366940.00,6.34,6.35,3.72,10.81,60.89,0.00,0.00,signal detected
DUPIXENT,INITIAL INSOMNIA,19,23375.00,47.00,366940.00,6.34,6.35,3.72,10.81,60.89,0.00,0.00,signal detected
ORSERDU,GASTROENTERITIS VIRAL,3,1323.00,139.00,388916.00,6.33,6.34,2.02,19.94,13.19,0.00,0.01,signal detected
VRAYLAR,ADVERSE DRUG REACTION,5,192.00,1595.00,388589.00,6.21,6.34,2.61,15.44,21.87,0.00,0.00,signal detected
HUMIRA,BLOOD MAGNESIUM DECREASED,3,5061.00,36.00,385281.00,6.34,6.34,1.95,20.61,12.46,0.00,0.01,signal detected
VIAGRA,DRUG INEFFECTIVE,4,19.00,12541.00,377817.00,5.41,6.34,2.16,18.65,14.87,0.00,0.01,signal detected
CLOZAPINE,TREATMENT NONCOMPLIANCE,11,1324.00,509.00,388537.00,6.30,6.34,3.48,11.55,48.05,0.00,0.00,signal detected
PADCEV,DISEASE PROGRESSION,3,137.00,1344.00,388897.00,6.22,6.34,2.02,19.92,13.16,0.00,0.01,signal detected
TARPEYO,BLOOD CREATININE INCREASED,3,678.00,272.00,389428.00,6.31,6.34,2.03,19.81,13.27,0.00,0.01,signal detected
VABYSMO,OEDEMA,4,1372.00,179.00,388826.00,6.32,6.33,2.35,17.08,17.52,0.00,0.00,signal detected
XELJANZ XR,MACULAR DEGENERATION,4,2356.00,104.00,387917.00,6.32,6.33,2.33,17.21,17.27,0.00,0.00,signal detected
CARBIDOPA\LEVODOPA,HERNIA,3,1145.00,161.00,389072.00,6.32,6.33,2.02,19.87,13.19,0.00,0.01,signal detected
ENTRESTO,MYOCARDIAL INFARCTION,9,743.00,744.00,388885.00,6.27,6.33,3.27,12.26,39.44,0.00,0.00,signal detected
GABAPENTIN,DRUG DEPENDENCE,3,641.00,288.00,389449.00,6.30,6.33,2.02,19.79,13.26,0.00,0.01,signal detected
PAXLOVID,DRY MOUTH,5,1191.00,258.00,388927.00,6.31,6.33,2.61,15.36,21.91,0.00,0.00,signal detected
ENBREL,LOCALISED INFECTION,5,1715.00,179.00,388482.00,6.31,6.33,2.60,15.41,21.75,0.00,0.00,signal detected
PROLIA,UNEVALUABLE EVENT,5,1046.00,294.00,389036.00,6.30,6.33,2.61,15.34,21.94,0.00,0.00,signal detected
PONATINIB,PRODUCT DOSE OMISSION ISSUE,25,268.00,5670.00,384418.00,5.87,6.32,4.19,9.54,102.06,0.00,0.00,signal detected
ALECENSA,PERIPHERAL SWELLING,10,720.00,854.00,388797.00,6.25,6.32,3.38,11.85,43.69,0.00,0.00,signal detected
RILPIVIRINE,CHEST DISCOMFORT,3,425.00,435.00,389518.00,6.28,6.32,2.02,19.75,13.25,0.00,0.01,signal detected
BORTEZOMIB,THERAPEUTIC RESPONSE DECREASED,4,474.00,520.00,389383.00,6.27,6.32,2.35,16.97,17.62,0.00,0.00,signal detected
IMBRUVICA,DEPRESSED MOOD,3,1155.00,160.00,389063.00,6.30,6.32,2.01,19.82,13.14,0.00,0.01,signal detected
TECFIDERA,NEOPLASM MALIGNANT,5,417.00,739.00,389220.00,6.25,6.32,2.61,15.30,21.95,0.00,0.00,signal detected
TRANEXAMIC ACID,PRODUCT USE IN UNAPPROVED INDICATION,3,65.00,2832.00,387481.00,6.08,6.31,1.98,20.10,12.81,0.00,0.01,signal detected
FERINJECT,ASTHENIA,3,126.00,1466.00,388786.00,6.19,6.31,2.01,19.87,13.08,0.00,0.01,signal detected
KRYSTEXXA,URTICARIA,4,254.00,972.00,389151.00,6.22,6.30,2.34,16.96,17.51,0.00,0.00,signal detected
ULTOMIRIS,DYSPHAGIA,14,1976.00,436.00,387955.00,6.27,6.30,3.70,10.75,60.11,0.00,0.00,signal detected
LACOSAMIDE,FALL,6,238.00,1554.00,388583.00,6.17,6.30,2.80,14.19,26.02,0.00,0.00,signal detected
FABRAZYME,CEREBROVASCULAR ACCIDENT,3,163.00,1137.00,389078.00,6.20,6.30,2.01,19.76,13.09,0.00,0.01,signal detected
OXYCODONE HYDROCHLORIDE,SOMNOLENCE,3,204.00,909.00,389265.00,6.22,6.30,2.01,19.73,13.13,0.00,0.01,signal detected
TOPIRAMATE,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,3,212.00,875.00,389291.00,6.22,6.30,2.01,19.72,13.13,0.00,0.01,signal detected
PHESGO,MYALGIA,13,1151.00,697.00,388520.00,6.24,6.30,3.63,10.93,56.22,0.00,0.00,signal detected
DOXYCYCLINE,TREATMENT NONCOMPLIANCE,3,359.00,517.00,389502.00,6.25,6.30,2.01,19.68,13.18,0.00,0.01,signal detected
LEQEMBI,MEMORY IMPAIRMENT,4,423.00,585.00,389369.00,6.24,6.29,2.34,16.90,17.52,0.00,0.00,signal detected
PROLIA,INJURY ASSOCIATED WITH DEVICE,3,1048.00,177.00,389153.00,6.28,6.29,2.01,19.73,13.10,0.00,0.01,signal detected
DUOPA,HYPOTENSION,3,222.00,836.00,389320.00,6.22,6.29,2.01,19.70,13.13,0.00,0.01,signal detected
PEGCETACOPLAN,FATIGUE,12,173.00,4254.00,385942.00,5.95,6.29,3.50,11.31,49.82,0.00,0.00,signal detected
BYDUREON BCISE,INJECTION SITE ERYTHEMA,4,382.00,648.00,389347.00,6.24,6.29,2.34,16.90,17.51,0.00,0.00,signal detected
TEDUGLUTIDE,RECTAL HAEMORRHAGE,3,982.00,189.00,389207.00,6.28,6.29,2.01,19.72,13.10,0.00,0.01,signal detected
XELJANZ XR,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,32,2328.00,846.00,387175.00,6.22,6.29,4.41,8.97,135.35,0.00,0.00,signal detected
STRENSIQ,SEASONAL ALLERGY,3,1079.00,172.00,389127.00,6.28,6.29,2.01,19.73,13.08,0.00,0.01,signal detected
LEQVIO,DIABETES MELLITUS,3,460.00,404.00,389514.00,6.25,6.29,2.01,19.65,13.16,0.00,0.01,signal detected
LONSURF,ABDOMINAL PAIN,3,215.00,864.00,389299.00,6.21,6.29,2.01,19.69,13.11,0.00,0.01,signal detected
DUPIXENT,EYE IRRITATION,105,23289.00,263.00,366724.00,6.26,6.29,5.01,7.89,332.19,0.00,0.00,signal detected
FABRAZYME,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,6,160.00,2315.00,387900.00,6.09,6.28,2.78,14.21,25.63,0.00,0.00,signal detected
LEXISCAN,VOMITING,7,246.00,1759.00,388369.00,6.14,6.28,2.96,13.34,30.11,0.00,0.00,signal detected
RITUXIMAB,WOUND,3,1837.00,101.00,388440.00,6.27,6.28,1.99,19.82,12.91,0.00,0.01,signal detected
BIMEKIZUMAB,PERIPHERAL SWELLING,3,216.00,861.00,389301.00,6.21,6.28,2.01,19.66,13.09,0.00,0.01,signal detected
OTEZLA,DISCOMFORT,4,1016.00,244.00,389117.00,6.26,6.28,2.33,16.90,17.40,0.00,0.00,signal detected
NEXAVAR,OFF LABEL USE,6,33.00,10987.00,379355.00,5.47,6.28,2.63,14.99,22.51,0.00,0.00,signal detected
DUPIXENT,SCAB,12,23382.00,30.00,366957.00,6.27,6.28,3.21,12.26,38.01,0.00,0.00,signal detected
URSODIOL,DRUG INEFFECTIVE,5,24.00,12540.00,377812.00,5.37,6.28,2.39,16.45,18.35,0.00,0.00,signal detected
DUPIXENT,LIP DRY,6,23388.00,15.00,366972.00,6.27,6.28,2.43,16.18,19.00,0.00,0.00,signal detected
DUPIXENT,ODYNOPHAGIA,4,23390.00,10.00,366977.00,6.27,6.28,1.97,20.01,12.67,0.00,0.01,signal detected
OCREVUS,LIGAMENT SPRAIN,4,5223.00,47.00,385107.00,6.27,6.28,2.26,17.42,16.33,0.00,0.00,signal detected
AZELASTINE HYDROCHLORIDE,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,5,142.00,2178.00,388056.00,6.09,6.27,2.57,15.32,21.36,0.00,0.00,signal detected
TECENTRIQ,INTERSTITIAL LUNG DISEASE,7,788.00,551.00,389035.00,6.23,6.27,2.97,13.26,30.36,0.00,0.00,signal detected
XARELTO,DRUG INTERACTION,8,646.00,768.00,388959.00,6.21,6.27,3.11,12.64,34.66,0.00,0.00,signal detected
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,17,456.00,2304.00,387604.00,6.08,6.27,3.86,10.20,72.09,0.00,0.00,signal detected
BORTEZOMIB,THROMBOSIS,4,474.00,524.00,389379.00,6.23,6.27,2.34,16.84,17.44,0.00,0.00,signal detected
ICATIBANT,INFLUENZA,3,238.00,783.00,389357.00,6.20,6.27,2.00,19.62,13.07,0.00,0.01,signal detected
SKYRIZI,NEPHROLITHIASIS,26,4125.00,388.00,385842.00,6.23,6.27,4.21,9.33,107.22,0.00,0.00,signal detected
RENFLEXIS,MALAISE,3,107.00,1738.00,388533.00,6.12,6.27,1.99,19.76,12.90,0.00,0.01,signal detected
CYCLOPHOSPHAMIDE,PANCYTOPENIA,3,472.00,395.00,389511.00,6.23,6.27,2.01,19.59,13.10,0.00,0.01,signal detected
NUCALA,SYMPTOM RECURRENCE,3,1217.00,153.00,389008.00,6.25,6.27,2.00,19.68,12.99,0.00,0.01,signal detected
RINVOQ,HERPES ZOSTER,26,3974.00,403.00,385978.00,6.23,6.27,4.21,9.33,107.40,0.00,0.00,signal detected
TRELEGY ELLIPTA,DYSPNOEA EXERTIONAL,3,1013.00,184.00,389181.00,6.25,6.26,2.00,19.63,13.02,0.00,0.01,signal detected
AZITHROMYCIN,DRUG INTERACTION,5,403.00,771.00,389202.00,6.20,6.26,2.59,15.17,21.70,0.00,0.00,signal detected
SANDOSTATIN LAR DEPOT,WEIGHT DECREASED,3,166.00,1123.00,389089.00,6.17,6.26,2.00,19.64,12.99,0.00,0.01,signal detected
VELCADE,TREATMENT FAILURE,3,195.00,957.00,389226.00,6.18,6.26,2.00,19.60,13.01,0.00,0.01,signal detected
TEPEZZA,BLOOD PRESSURE INCREASED,6,503.00,742.00,389130.00,6.19,6.26,2.79,14.04,25.97,0.00,0.00,signal detected
TOLVAPTAN,INTENTIONAL DOSE OMISSION,3,400.00,467.00,389511.00,6.22,6.26,2.00,19.55,13.06,0.00,0.01,signal detected
VANCOMYCIN,DRUG INEFFECTIVE,82,397.00,12463.00,377439.00,5.36,6.26,4.93,7.94,298.16,0.00,0.00,signal detected
CISPLATIN,THROMBOCYTOPENIA,3,268.00,697.00,389413.00,6.20,6.25,2.00,19.56,13.04,0.00,0.01,signal detected
RUXOLITINIB,ANAEMIA,4,299.00,833.00,389245.00,6.18,6.25,2.33,16.80,17.33,0.00,0.00,signal detected
OPSUMIT,PLEURAL EFFUSION,3,605.00,309.00,389464.00,6.22,6.25,2.00,19.54,13.04,0.00,0.01,signal detected
TURALIO,FATIGUE,6,87.00,4260.00,386028.00,5.91,6.25,2.73,14.30,24.72,0.00,0.00,signal detected
CLOPIDOGREL,INJECTION SITE BRUISING,3,323.00,579.00,389476.00,6.20,6.25,2.00,19.53,13.03,0.00,0.01,signal detected
JOENJA,FATIGUE,4,58.00,4262.00,386057.00,5.91,6.25,2.27,17.21,16.48,0.00,0.00,signal detected
TEDUGLUTIDE,CHRONIC KIDNEY DISEASE,4,981.00,254.00,389142.00,6.23,6.25,2.32,16.81,17.28,0.00,0.00,signal detected
LEUPROLIDE ACETATE,PNEUMONIA,8,198.00,2508.00,387667.00,6.04,6.25,3.08,12.68,33.77,0.00,0.00,signal detected
KEVZARA,GAIT INABILITY,3,974.00,192.00,389212.00,6.23,6.24,1.99,19.56,12.97,0.00,0.01,signal detected
HUMIRA,EYE OPERATION,5,5059.00,61.00,385256.00,6.24,6.24,2.51,15.54,20.32,0.00,0.00,signal detected
GOSERELIN,FALL,3,120.00,1557.00,388701.00,6.11,6.24,1.98,19.65,12.86,0.00,0.01,signal detected
TASIGNA,PAIN IN EXTREMITY,4,229.00,1089.00,389059.00,6.15,6.24,2.32,16.80,17.24,0.00,0.00,signal detected
TYVASO,CHEST PAIN,5,492.00,634.00,389250.00,6.19,6.24,2.58,15.11,21.61,0.00,0.00,signal detected
BOSULIF,PLATELET COUNT DECREASED,3,294.00,637.00,389447.00,6.19,6.24,2.00,19.51,13.00,0.00,0.01,signal detected
ROZLYTREK,VOMITING,3,106.00,1763.00,388509.00,6.09,6.24,1.98,19.67,12.81,0.00,0.01,signal detected
CLOBAZAM,DRUG INEFFECTIVE,12,58.00,12533.00,377778.00,5.34,6.24,3.35,11.61,43.68,0.00,0.00,signal detected
AMBRISENTAN,HOSPITALISATION,34,785.00,2688.00,386874.00,6.02,6.23,4.41,8.81,141.42,0.00,0.00,signal detected
OTEZLA,NAUSEA,49,971.00,3127.00,386234.00,5.98,6.23,4.67,8.32,201.80,0.00,0.00,signal detected
DUPIXENT,FOOD ALLERGY,25,23369.00,63.00,366924.00,6.23,6.23,3.92,9.90,78.51,0.00,0.00,signal detected
GEMCITABINE,ANAEMIA,4,300.00,833.00,389244.00,6.16,6.23,2.32,16.75,17.25,0.00,0.00,signal detected
LEXISCAN,MYOCARDIAL INFARCTION,3,250.00,750.00,389378.00,6.17,6.23,1.99,19.49,12.96,0.00,0.01,signal detected
TYMLOS,TENDONITIS,4,3108.00,80.00,387189.00,6.22,6.23,2.28,17.01,16.70,0.00,0.00,signal detected
ULTOMIRIS,LETHARGY,5,1985.00,157.00,388234.00,6.22,6.23,2.55,15.19,21.22,0.00,0.00,signal detected
AVASTIN,BRAIN FOG,3,638.00,294.00,389446.00,6.20,6.23,1.99,19.48,12.97,0.00,0.01,signal detected
DICLOFENAC,JOINT SWELLING,3,283.00,663.00,389432.00,6.17,6.23,1.99,19.47,12.97,0.00,0.01,signal detected
POMALYST,NEUROPATHY PERIPHERAL,25,2235.00,696.00,387425.00,6.17,6.23,4.17,9.30,104.71,0.00,0.00,signal detected
FLUCONAZOLE,DRUG INEFFECTIVE,26,126.00,12519.00,377710.00,5.33,6.23,4.08,9.50,94.35,0.00,0.00,signal detected
AMIODARONE,ANAEMIA,3,225.00,834.00,389319.00,6.16,6.22,1.99,19.48,12.93,0.00,0.01,signal detected
ATORVASTATIN,HYPOTHYROIDISM,3,873.00,215.00,389290.00,6.20,6.22,1.99,19.48,12.92,0.00,0.01,signal detected
HYQVIA,NO ADVERSE EVENT,3,64.00,2919.00,387395.00,5.99,6.22,1.95,19.81,12.54,0.00,0.01,signal detected
JARDIANCE,ACUTE MYOCARDIAL INFARCTION,3,1117.00,168.00,389093.00,6.21,6.22,1.98,19.51,12.88,0.00,0.01,signal detected
REMICADE,PROSTATE CANCER,6,1689.00,222.00,388464.00,6.20,6.22,2.76,14.01,25.48,0.00,0.00,signal detected
LEVOFLOXACIN,THROMBOCYTOPENIA,4,360.00,696.00,389321.00,6.16,6.22,2.31,16.70,17.21,0.00,0.00,signal detected
CLOZARIL,THERAPY CESSATION,6,1064.00,353.00,388958.00,6.18,6.21,2.77,13.96,25.66,0.00,0.00,signal detected
ATORVASTATIN,HEPATIC ENZYME INCREASED,6,870.00,432.00,389073.00,6.18,6.21,2.77,13.94,25.70,0.00,0.00,signal detected
INVEGA SUSTENNA,SUICIDAL IDEATION,3,420.00,448.00,389510.00,6.17,6.21,1.99,19.41,12.93,0.00,0.01,signal detected
REMICADE,LYMPHADENOPATHY,4,1691.00,148.00,388538.00,6.20,6.21,2.30,16.78,16.98,0.00,0.00,signal detected
SKYRIZI,REHABILITATION THERAPY,5,4146.00,75.00,386155.00,6.20,6.21,2.51,15.36,20.46,0.00,0.00,signal detected
KRAZATI,NAUSEA,6,118.00,3170.00,387087.00,5.96,6.21,2.73,14.11,24.90,0.00,0.00,signal detected
JAKAFI,TOOTH DISORDER,3,1270.00,148.00,388960.00,6.20,6.21,1.98,19.50,12.82,0.00,0.01,signal detected
KETOCONAZOLE,DRUG INEFFECTIVE,14,68.00,12531.00,377768.00,5.32,6.21,3.49,11.04,50.65,0.00,0.00,signal detected
MIRALAX,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,4,287.00,874.00,389216.00,6.14,6.21,2.31,16.69,17.15,0.00,0.00,signal detected
CERTOLIZUMAB PEGOL,PSORIASIS,13,975.00,835.00,388558.00,6.14,6.20,3.57,10.77,55.15,0.00,0.00,signal detected
EPIRUBICIN,NAUSEA,3,59.00,3173.00,387146.00,5.95,6.20,1.94,19.80,12.45,0.00,0.01,signal detected
OXYBUTYNIN,DRUG INEFFECTIVE,7,34.00,12538.00,377802.00,5.32,6.20,2.75,14.00,25.32,0.00,0.00,signal detected
ENBREL,PRODUCT COMMUNICATION ISSUE,7,1713.00,256.00,388405.00,6.18,6.20,2.92,13.16,29.60,0.00,0.00,signal detected
LIALDA,DIARRHOEA,3,50.00,3746.00,386582.00,5.90,6.19,1.93,19.86,12.31,0.00,0.01,signal detected
GILENYA,WEIGHT DECREASED,4,224.00,1122.00,389031.00,6.10,6.19,2.30,16.67,17.05,0.00,0.00,signal detected
MEKINIST,MALIGNANT NEOPLASM PROGRESSION,3,246.00,767.00,389365.00,6.13,6.19,1.98,19.37,12.85,0.00,0.01,signal detected
QUETIAPINE,HYPOTENSION,8,605.00,831.00,388937.00,6.12,6.19,3.07,12.47,34.02,0.00,0.00,signal detected
PROACTIV MD ADAPALENE ACNE TREATMENT,UNDERDOSE,10,1605.00,391.00,388375.00,6.16,6.19,3.30,11.62,42.16,0.00,0.00,signal detected
CARBIDOPA\LEVODOPA,OXYGEN SATURATION DECREASED,5,1143.00,275.00,388958.00,6.16,6.19,2.55,15.01,21.26,0.00,0.00,signal detected
DYSPORT,OFF LABEL USE,12,67.00,10981.00,379321.00,5.40,6.19,3.35,11.44,44.21,0.00,0.00,signal detected
TAVALISSE,LIVER FUNCTION TEST INCREASED,3,963.00,196.00,389219.00,6.17,6.19,1.97,19.38,12.81,0.00,0.01,signal detected
VEDOLIZUMAB,BLOOD PRESSURE INCREASED,51,4557.00,697.00,385076.00,6.13,6.18,4.65,8.23,204.21,0.00,0.00,signal detected
VENLAFAXINE,SUICIDAL IDEATION,3,422.00,448.00,389508.00,6.14,6.18,1.98,19.31,12.85,0.00,0.01,signal detected
IMBRUVICA,CATARACT,11,1147.00,603.00,388620.00,6.13,6.18,3.39,11.25,46.47,0.00,0.00,signal detected
MESALAMINE,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,3,216.00,875.00,389287.00,6.11,6.18,1.97,19.35,12.80,0.00,0.01,signal detected
INVEGA SUSTENNA,SOMNOLENCE,6,417.00,906.00,389052.00,6.11,6.18,2.75,13.87,25.51,0.00,0.00,signal detected
TECENTRIQ,ANAPHYLACTIC REACTION,8,787.00,640.00,388946.00,6.13,6.18,3.07,12.45,33.94,0.00,0.00,signal detected
LEVOFLOXACIN,CONFUSIONAL STATE,3,361.00,524.00,389493.00,6.13,6.18,1.98,19.31,12.84,0.00,0.01,signal detected
ILARIS,INFECTION,3,180.00,1050.00,389148.00,6.09,6.18,1.97,19.36,12.77,0.00,0.01,signal detected
HUMIRA,INFLAMMATION,19,5045.00,235.00,385082.00,6.15,6.17,3.86,9.86,75.89,0.00,0.00,signal detected
PREMARIN,PRODUCT USE ISSUE,5,268.00,1176.00,388932.00,6.08,6.17,2.54,14.97,21.17,0.00,0.00,signal detected
PREDNISONE,RESPIRATORY FAILURE,5,1087.00,290.00,388999.00,6.15,6.17,2.54,14.97,21.20,0.00,0.00,signal detected
AMBRISENTAN,CARDIAC FAILURE CONGESTIVE,3,816.00,232.00,389330.00,6.15,6.17,1.97,19.31,12.78,0.00,0.01,signal detected
LEQVIO,THERAPY NON-RESPONDER,4,459.00,550.00,389368.00,6.12,6.17,2.30,16.57,17.05,0.00,0.00,signal detected
"DEXTROAMPHET SACCHARAT, AMPHET ASPARTATE, DEXTROAMPHET SULFATE AND AMPHET SULFAT",DRUG INEFFECTIVE,28,137.00,12517.00,377699.00,5.29,6.17,4.11,9.26,100.43,0.00,0.00,signal detected
ATORVASTATIN,ALANINE AMINOTRANSFERASE INCREASED,3,873.00,217.00,389288.00,6.15,6.16,1.97,19.30,12.76,0.00,0.01,signal detected
NIROGACESTAT,INFLUENZA,4,323.00,782.00,389272.00,6.10,6.16,2.29,16.57,17.01,0.00,0.00,signal detected
VENCLEXTA,WHITE BLOOD CELL COUNT DECREASED,15,1307.00,723.00,388336.00,6.11,6.16,3.69,10.31,62.86,0.00,0.00,signal detected
MEKINIST,DIARRHOEA,14,235.00,3735.00,386397.00,5.87,6.16,3.59,10.58,56.94,0.00,0.00,signal detected
RADICAVA ORS,DEATH,8,45.00,10949.00,379379.00,5.38,6.16,2.90,13.07,29.34,0.00,0.00,signal detected
KEYTRUDA,HEPATITIS,7,2518.00,175.00,387681.00,6.14,6.16,2.89,13.12,29.00,0.00,0.00,signal detected
CLOZAPINE,TACHYCARDIA,6,1329.00,285.00,388761.00,6.14,6.16,2.74,13.85,25.28,0.00,0.00,signal detected
TALTZ,OROPHARYNGEAL PAIN,6,1000.00,379.00,388996.00,6.13,6.16,2.74,13.83,25.37,0.00,0.00,signal detected
DUPIXENT,FEAR OF INJECTION,20,23374.00,51.00,366936.00,6.15,6.16,3.67,10.33,61.99,0.00,0.00,signal detected
ORENCIA,FOOD ALLERGY,3,2225.00,85.00,388068.00,6.15,6.16,1.94,19.48,12.50,0.00,0.01,signal detected
HUMAN IMMUNOGLOBULIN G,NEURALGIA,3,1691.00,112.00,388575.00,6.15,6.16,1.95,19.39,12.59,0.00,0.01,signal detected
ELIQUIS,ACCIDENT,4,2997.00,84.00,387296.00,6.15,6.15,2.26,16.79,16.46,0.00,0.00,signal detected
KEYTRUDA,CHOLECYSTITIS,3,2522.00,75.00,387781.00,6.14,6.15,1.94,19.52,12.43,0.00,0.01,signal detected
MESALAMINE,PRODUCT USE ISSUE,4,215.00,1177.00,388985.00,6.05,6.15,2.28,16.56,16.87,0.00,0.00,signal detected
VYVGART,MUSCULAR WEAKNESS,6,817.00,465.00,389093.00,6.11,6.15,2.74,13.79,25.33,0.00,0.00,signal detected
ENFORTUMAB VEDOTIN-EJFV,RASH,3,60.00,3153.00,387165.00,5.89,6.14,1.92,19.59,12.28,0.00,0.01,signal detected
XCOPRI,FALL,3,122.00,1557.00,388699.00,6.02,6.14,1.95,19.32,12.57,0.00,0.01,signal detected
TACROLIMUS,CHRONIC KIDNEY DISEASE,5,1252.00,253.00,388871.00,6.12,6.14,2.53,14.90,21.01,0.00,0.00,signal detected
ADVATE,PERIPHERAL SWELLING,3,221.00,861.00,389296.00,6.07,6.14,1.96,19.21,12.68,0.00,0.01,signal detected
OFEV,LIVER DISORDER,4,890.00,285.00,389202.00,6.11,6.14,2.28,16.50,16.89,0.00,0.00,signal detected
VUMERITY,GASTROOESOPHAGEAL REFLUX DISEASE,3,661.00,288.00,389429.00,6.11,6.14,1.96,19.19,12.71,0.00,0.01,signal detected
MESALAMINE,FEELING ABNORMAL,3,216.00,881.00,389281.00,6.07,6.14,1.96,19.21,12.68,0.00,0.01,signal detected
SPINRAZA,ASTHENIA,4,173.00,1465.00,388739.00,6.02,6.14,2.27,16.55,16.76,0.00,0.00,signal detected
LAMOTRIGINE,SOMNOLENCE,6,420.00,906.00,389049.00,6.06,6.13,2.73,13.77,25.25,0.00,0.00,signal detected
ALECENSA,PNEUMONITIS,3,727.00,262.00,389389.00,6.11,6.13,1.96,19.18,12.69,0.00,0.01,signal detected
METHOTREXATE,HEPATIC CIRRHOSIS,4,2147.00,118.00,388112.00,6.12,6.13,2.26,16.61,16.57,0.00,0.00,signal detected
TOLVAPTAN,HAEMOGLOBIN DECREASED,3,400.00,477.00,389501.00,6.09,6.12,1.96,19.14,12.69,0.00,0.01,signal detected
ORSERDU,FEMUR FRACTURE,3,1323.00,144.00,388911.00,6.11,6.12,1.95,19.24,12.57,0.00,0.01,signal detected
ONPATTRO,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,3,82.00,2318.00,387978.00,5.94,6.12,1.93,19.39,12.39,0.00,0.01,signal detected
ENHERTU,ALOPECIA,8,503.00,1010.00,388860.00,6.04,6.12,3.04,12.35,33.49,0.00,0.00,signal detected
OLANZAPINE,SUICIDAL IDEATION,4,569.00,447.00,389361.00,6.09,6.12,2.28,16.44,16.88,0.00,0.00,signal detected
FUROSEMIDE,FALL,7,286.00,1553.00,388535.00,6.00,6.12,2.89,12.98,29.16,0.00,0.00,signal detected
TEGSEDI,CHEST PAIN,3,300.00,636.00,389442.00,6.07,6.12,1.96,19.14,12.67,0.00,0.01,signal detected
LORATADINE,DRUG INEFFECTIVE,13,64.00,12532.00,377772.00,5.26,6.12,3.37,11.12,46.27,0.00,0.00,signal detected
ACTEMRA,BLINDNESS UNILATERAL,3,2834.00,67.00,387477.00,6.12,6.12,1.92,19.48,12.29,0.00,0.01,signal detected
ADALIMUMAB,FREQUENT BOWEL MOVEMENTS,4,1381.00,184.00,388812.00,6.11,6.12,2.27,16.50,16.72,0.00,0.00,signal detected
LEQEMBI,SOMNOLENCE,6,421.00,906.00,389048.00,6.05,6.12,2.73,13.74,25.17,0.00,0.00,signal detected
ZEPOSIA,HEPATIC ENZYME INCREASED,3,439.00,435.00,389504.00,6.08,6.12,1.96,19.12,12.67,0.00,0.01,signal detected
AMLODIPINE BESYLATE,DRUG HYPERSENSITIVITY,4,186.00,1368.00,388823.00,6.00,6.11,2.27,16.48,16.70,0.00,0.00,signal detected
METHOTREXATE,HEPATIC CYTOLYSIS,12,2139.00,356.00,387874.00,6.08,6.11,3.43,10.88,49.36,0.00,0.00,signal detected
ZEPBOUND,INJECTION SITE URTICARIA,7,2256.00,197.00,387921.00,6.09,6.11,2.87,13.00,28.80,0.00,0.00,signal detected
XPOVIO,FEELING ABNORMAL,3,217.00,881.00,389280.00,6.04,6.11,1.95,19.13,12.60,0.00,0.01,signal detected
OPSUMIT,PNEUMONIA,23,585.00,2493.00,387280.00,5.91,6.11,4.02,9.28,93.67,0.00,0.00,signal detected
SKYRIZI,PROSTATE CANCER,14,4137.00,214.00,386016.00,6.09,6.10,3.55,10.49,55.90,0.00,0.00,signal detected
CARBIDOPA\LEVODOPA,MULTIPLE ORGAN DYSFUNCTION SYNDROME,3,1145.00,167.00,389066.00,6.09,6.10,1.95,19.15,12.55,0.00,0.01,signal detected
STRENSIQ,WEIGHT INCREASED,19,1063.00,1137.00,388162.00,6.01,6.10,3.86,9.64,78.32,0.00,0.00,signal detected
CILASTATIN SODIUM\IMIPENEM,NAUSEA,3,60.00,3173.00,387145.00,5.86,6.10,1.91,19.46,12.17,0.00,0.01,signal detected
BREZTRI,CEREBROVASCULAR ACCIDENT,10,564.00,1130.00,388677.00,6.01,6.10,3.25,11.43,41.52,0.00,0.00,signal detected
ALBUTEROL,COUGH,14,649.00,1374.00,388344.00,5.99,6.10,3.58,10.38,57.81,0.00,0.00,signal detected
INGREZZA,DIZZINESS,8,262.00,1944.00,388167.00,5.95,6.10,3.01,12.34,32.94,0.00,0.00,signal detected
XYWAV,ANXIETY,7,539.00,829.00,389006.00,6.03,6.09,2.88,12.88,29.18,0.00,0.00,signal detected
VALGANCICLOVIR HYDROCHLORIDE,OFF LABEL USE,3,17.00,10990.00,379371.00,5.33,6.09,1.78,20.79,10.85,0.00,0.02,signal detected
ACETAMINOPHEN,DRUG ABUSE,8,1406.00,363.00,388604.00,6.06,6.09,3.02,12.30,33.12,0.00,0.00,signal detected
